name;artist;duration;url;original_url;image;game;amountOfDancers;difficulty;sinceVersion
Cool for the Summer;Demi Lovato;3:34;https://youtu.be/RanKjEpEhsQ;null;cool_for_the_summer;2016;1;1;12
Cosmic Girl;Jamiroquai;3:13;https://youtu.be/jn77MNP7C1Ev=Kl6PfJbuOO8;https://www.youtube.com/watch?v=Kl6PfJbuOO8;cosmic_girl;2;1;1;10
Cosmic Party ;Equinox Stars;2:13;https://youtu.be/_9e009x2OtE;null;cosmic_party;2019;1;2;12
Cotton Eye Joe;Rednex;3:16;https://youtu.be/kVb9RHYFPGs;null;cotton_eye_joe;1;1;2;12
Counting Stars;OneRepublic;3:30;https://youtu.be/9iUioO3tM6I;null;counting_stars;dcs;1;4;12
Cradles;Suburban;3:30;https://youtu.be/VVSmVv9OgjQ;null;cradles;2024;1;3;12
Crayon;G-Dragon;3:17;https://youtu.be/oveo5kiRZ9I;null;crayon;2020;1;2;12
Crazy Little Thing;Anja;3:42;https://youtu.be/oIjvpasfVss;null;crazy_little_thing;4;1;3;12
Criminal;Natti Natasha & Ozuna;3:15;https://youtu.be/SA6ixluCLyg?t=20;https://youtu.be/Hz2BbH6vIkM?t=20;criminal;2019;2;1;10
Crucified;Army of Lovers;3:26;https://youtu.be/IbRDYAksO-g?t=12;https://youtu.be/-pr3rRuk7pA?t=12;crucified;4;4;2;9
Crying Blood;V V Brown;2:27;https://youtu.be/rgmMRlghmvI?t=18;https://youtu.be/3l1VVZUlg18?t=18;crying_blood;2;1;1;9
Cupid Shuffle;Bryson Bernard;3:02;https://youtu.be/28l7qdlndFQ;null;cupid_shuffle;dc3;1;2;12
Cure For Me (Alternate);AURORA;3:29;https://youtu.be/vrcjXbPE5TU?t=26;null;cure_for_me_alternate;2024;1;2;11
D.A.N.C.E.;Justice;3:52;https://youtu.be/9ZuB2FmoEIw?t=12;https://youtu.be/ElY2W59fXQI?t=12;dance;2;1;1;9
DJ Got Us Fallin’ In Love;Usher;3:28;https://youtu.be/ld6-JJSjSH4?t=12;https://youtu.be/b9p-45X1T3g?t=12;dj_got_us_falling_in_love_again;2023;2;2;11
DNA;BTS;3:45;https://youtu.be/zxu_d0CbWEE;null;dna;fanmade;4;4;12
Daddy;PSY;3:40;https://youtu.be/AhYAqcFBPbU?t=15;https://youtu.be/y9WUm3QvHK0?t=15;daddy;2017;3;2;0
Daddy Cool;Boney M.;1:42;https://youtu.be/4Fn6D2Z5Kiw?t=1;https://youtu.be/CIGTLqZV8F4?t=1;daddy_cool;3;1;1;11
Dagomba; Sorcerer;3:41;https://youtu.be/QzxkVq_xAgQ;null;dagomba;2;1;2;12
Daisy;Ashnikko;2:45;https://youtu.be/WNmqQ7YvXcw;null;daisy;2022;1;1;12
Dame Tu Cosita;El Chombo ft. Cutty Ranks;2:18;https://youtu.be/W8IKV2Nigqs?t=10;https://youtu.be/MNNWa0luLTM?t=10;dame_tu_cosita;2019;1;1;11
Dance All Nite;Aneea;3:35;https://www.youtube.com/watch?v=3PDWSiB5uzM;null;dance_all_nite;3;1;3;11
Dance Monkey;Tones And I;3:27;https://youtu.be/Aa7V-zjlLtEv=bI7QZHzva-E&?t=11s;https://www.youtube.com/watch?v=bI7QZHzva-E&t=11s;dance_monkey;2021;1;2;0
Dance My Generation;Golden Bomber;3:51;https://youtu.be/jnSgXy5h4m8?t=2;https://youtu.be/o51oRYGtPbo?t=2;dance_my_generation;wiiu;1;1;10
Dancin (Krono Remix);Aaron Smith;3:12;https://youtu.be/6cHq-8PPorw?t=7;https://youtu.be/dnsHsSjyuzI?t=7;dancin;fanmade;1;1;10
Dancing Diva;jolin Tsai;3:07;https://youtu.be/htQRWz9cQ18;null;dancing_diva;china_or_something_idk;1;2;12
Dancing Queen (Prom Version);ABBA;3:33;https://youtu.be/DWR0TbciuzQ;null;dancing_queen_prom_version;other;1;1;12
Dancing Queen (solo);ABBA;3:41;https://youtu.be/i2OjhDFnc98?t=17;https://youtu.be/OQD75k0fHog?t=17;dancing_queen_solo;abbaycd;1;2;10
Dancing Queen (trio);ABBA;3:22;https://youtu.be/ukIPNPufc58?t=25;https://youtu.be/FS_alHzjCaU?t=25;dancing_queen_trio;2018;3;2;10
Danger! High Voltage;Electric Six;3:36;https://youtu.be/UGurpbmK_U8?t=8;https://youtu.be/JGfYow_P-Ko?t=8;danger_high_voltage;2023;2;2;11
Danger! High Voltage (8-bit);Electric Six;3:36;https://youtu.be/tEIvsbkr-J8;null;danger_high_voltage_alt;2023;1;2;12
Dançando;Ivete Sangalo;3:23;https://youtu.be/DnIbIXZwAYcv=ANG7_YnTp0g;https://www.youtube.com/watch?v=ANG7_YnTp0g;dancando;2014;1;2;10
Dare;Gorillaz;3:40;https://youtu.be/xT6TRdlpoGg?t=9;https://youtu.be/D-B2HauEFCA?t=9;dare;1;1;1;10
Dark Horse;Katy Perry;3:07;https://www.youtube.com/watch?v=nw02oh0e07E;null;dark_horse;2015;3;2;11
Ddu-Du Ddu-Du;BLACKPINK;3:22;https://youtu.be/lNprl9mWXik?t=8;https://youtu.be/_1Gd5nXtcKQ?t=8;ddu-du_ddu-du;2019;4;3;10
Despacito;Luis Fonsi;3:49;https://youtu.be/VMkTzeC0LzY;null;despacito;2018;1;4;12
Diamonds;Rihanna;3:45;https://youtu.be/r-0DPSlYuo0v=IsuP8fmaS7Q;https://www.youtube.com/watch?v=IsuP8fmaS7Q;diamonds;2015;1;1;0
Dibby Dibby Sound;DJ Fresh vs. Jay Fay ft. Ms. Dynamite;3:09;https://youtu.be/RRzZElCUjiU?t=4;https://youtu.be/t0_kd_yulXw?t=4;dibby_dibby_sound;2021;2;2;10
Die Young;Ke$ha;3:30;https://youtu.be/DZt1J4uIkNU?t=13;https://youtu.be/fr24_nygtSY?t=13;die_young;4;2;3;0
Diggin’ in the Dirt;Stefanie Heinzmann;3:36;https://youtu.be/AzVsMcJlAuU?t=25;https://youtu.be/dtw_KhXUv18?t=25;diggin_in_the_dirt;4;1;1;11
Diggy;Spencer Ludwig;3:09;https://youtu.be/GLTWGF8rh4Q?t=10;https://youtu.be/MM7ZPWnne2U?t=10;diggy;2018;1;2;10
Dingga;MAMAMOO;2:55;https://youtu.be/U4BHsOLyHMA?t=26;https://youtu.be/gtHYFSpSzdI?t=26;dingga;fanmade;1;3;10
Disco Inferno;The Trammps;3:30;https://youtu.be/RVp5ieCukxk?t=31;https://youtu.be/K1HbNosTSB0?t=31;disco_inferno;2023;1;1;11
Disturbia;Rihanna;3:53;https://youtu.be/ZT0YYiq9T7I?t=12;https://youtu.be/HyiOce29uio?t=12;disturbia;4;1;3;0
Domino;Jessie J;3:54;https://youtu.be/P5UEuA3axPI;null;domino;4;1;1;12
Don't Cha;The Pussycat Dolls ft. Busta Rhymes;4:41;https://youtu.be/6zAj9onLM0A;null;dont_cha;2024;3;2;12
Don't Cha (Extreme);The Pussycat Dolls;4:44;https://youtu.be/J3nl-dp2UtM;null;dont_cha_extreme;2024;1;4;12
Don't Rush;Young T ft. Bugsey;4:13;https://youtu.be/_hadAhouQ14;null;dont_rush;2024;2;3;12
Don't Start Now;Dua Lipa;2:55;https://youtu.be/tmHRZuxWc2Uv=SwH-_ErdN5g&star?t=20;https://www.youtube.com/watch?v=SwH-_ErdN5g&start=20;dont_start_now;2021;1;1;4
Don't Start Now (Extreme);Dua Lipa;3:04;https://youtu.be/RSBQGkVgC8U;null;dont_start_now_extreme;2021;1;4;12
Done For Me;Charlie Puth ft. Kehlani;3:14;https://youtu.be/N0NzeZQZjHk?t=13;null;done_for_me;unlimited;2;2;11
Don’t Let Me Down;The Chainsmokers ft. Daya;3:20;https://youtu.be/eq7KtYMPVGg?t=1;https://youtu.be/sxwHyNWZCy8?t=1;dont_let_me_down;2017;2;2;0
Don’t Stop Me Now (panda version);Queen;3:23;https://youtu.be/b2GIz9T22Uo?t=19;https://youtu.be/Zy0IfHXP6Bc?t=19;dont_stop_me_now_panda_version;2017;1;2;8
Don’t Worry; Madcon , Ray Dalton;3:34;https://youtu.be/YjiLpr5eHDc;null;dont_worry;2017;2;1;12
Don’t You Worry Child;Swedish House Mafia ft. John Martin;3:34;https://youtu.be/vBbBYGTrGAk?t=22;https://youtu.be/MA4ThTZHZFk?t=22;dont_you_worry_child;2014;1;2;11
Dragostea Din Tei;O-Zone;3:39;https://youtu.be/iyrVh-XzXKU;null;dragostea_din_tei;2017;3;1;12
Drop the Mambo;Diva Carmina;2:57;https://youtu.be/gN1e9pgh250v=ISgeWvyMYs4;https://www.youtube.com/watch?v=ISgeWvyMYs4;drop_the_mambo;2017;1;2;5
Drum Go Dum;K/DA;3:00;https://youtu.be/2959CnW1KB0?t=8;https://youtu.be/Mxo9lihDnsU?t=8;drum_go_dum;2021;4;4;10
Dynamite;Taio Cruz;3:16;https://youtu.be/K-G4S3aZwIIv=kjeJ5rbc4xI&?t=67s;https://www.youtube.com/watch?v=kjeJ5rbc4xI&t=67s;dynamite;3;4;1;0
Dynamite (Extreme);BTS;3:09;https://youtu.be/DH2zihK46Mc?t=21;https://youtu.be/KH8XwGXivQU?t=21;dynamite_extreme;2023;4;4;10
Dynamite - Alternative;BTS;3:27;https://youtu.be/m6hmocTEgx8;null;dynamite_-_alternative;2023;1;2;12
E.T.;Katy Perry;3:32;https://youtu.be/0Xea5wE9KYs?t=23;https://youtu.be/woHNwNxpgzQ?t=23;et;3;1;1;11
Earth Song;Michael Jackson;4:28;https://youtu.be/wg1PO7D6qe4?t=28;https://youtu.be/8jKL_eExDg8?t=28;earth_song;mje;1;2;9
Empire Today;Kinect Star Wars;3:20;https://youtu.be/8N-BLCqoSvcv=W7bmXywWus8;https://www.youtube.com/watch?v=W7bmXywWus8;empire_today;ksw;1;2;11
Enemy;Imagine Dragons;2:49;https://youtu.be/R0cDfelQPFQ?t=26;https://youtu.be/sMw3tlAIOwU?t=26;enemy;fanmade;1;2;10
Error;Natalia Nykiel;3:56;https://youtu.be/WxERBp1Ueuw;null;error;2018;1;2;12
Euphoria;Loreen;3:18;https://youtu.be/bYXG6M0WuQM;null;euphoria;2023;1;1;12
Everybody;Backstreet Boys;3:27;https://youtu.be/DJjc6GQpUYs?t=15;https://youtu.be/jWdv2daMowE?t=15;everybody;2020;4;1;10
Eye of the Tiger;Survivor;3:34;https://youtu.be/-W0rHYVV-sw?t=12;https://youtu.be/C_VKUVmGApg?t=12;eye_of_the_tiger;1;1;1;11
Faded;Alan Walker;3:47;https://www.youtube.com/watch?v=XZf18iGjhTc;null;faded;fanmade;1;3;12
Familiar;Liam Payne & J Balvin;3:11;https://youtu.be/WEJVYcJygxM?t=8;https://youtu.be/TGgbqxwJnJw?t=8;familiar;3:12;1;1;9
Fancy;Twice;3:24;https://youtu.be/DQpOIIQGMyY?t=6;https://youtu.be/kWHPWtDTcJw?t=6;fancy;2020;3;2;10
Fancy;Iggy Azalea ft. Charli XCX;3:23;https://youtu.be/qjLdgjEBScM;null;im_so_fancy;2016;3;2;12
Fancy Footwork;Chromeo;3:18;https://youtu.be/vmfzs6K6yBg;null;fancy_footwork;2020;1;3;12
Fantastic Baby;Big Bang;3:52;https://youtu.be/eBKJwmw8Qfs?t=2;https://youtu.be/myT--GX1U2A?t=2;fantastic_baby;wiiu;1;3;11
Farfalle;Sangiovanni;3:20;https://youtu.be/K3yoZ450PQk;null;farfalle;2023;1;4;12
Feel It Still;Portugal. The Man;2:32;https://youtu.be/fSeeEnCQgVk?t=11;https://youtu.be/f4Be5BSN3ZY?t=11;feel_it_still;unlimited;1;2;11
Feel So Right;Imposs ft. Konshens;3:00;https://youtu.be/1s5bfGKr0QI;null;feel_so_right;2014;1;2;12
Feel Special;Twice;3:34;https://youtu.be/Cn23iSq0YfA;null;feel_special;2021;3;1;12
Feel Special (Extreme);TWICE;3:23;https://youtu.be/0GHUSytfgQU;null;feel_special_extreme;2021;1;4;12
Feel This Moment;Pitbull ft. Christina Aguilera;3:46;https://youtu.be/w9PKpM9mLhE;https://youtu.be/xwhH9e3UA4w;feel_this_moment;2014;1;1;9
Fine China;Chris Brown;3:16;https://youtu.be/VXbFYjQbOAY?t=14;https://youtu.be/xCos06dCp78?t=14;fine_china;2014;1;2;9
Fine China (Extreme);Chris Brown;3:25;https://youtu.be/goYnjQ1m3K0v=1oHSITJ5pdI;https://www.youtube.com/watch?v=1oHSITJ5pdI;fine_china_extreme;2014;1;4;11
Finesse (extreme);Bruno Mars ft. Cardi B;3:34;https://youtu.be/-OFM0mrcJqc?t=19;https://youtu.be/uJUBq1jDp4I?t=19;finesse_extreme;2019;1;4;10
Firework;Katy Perry;3:44;https://youtu.be/ZK3PsnJWSkov=s07O89d-DEY;https://www.youtube.com/watch?v=s07O89d-DEY;firework;2;1;1;0
Fit But You Know It;The Streets;3:02;https://youtu.be/JUpWqShLWm0?t=19;https://youtu.be/D3ctF8GNYaQ?t=19;fit_but_you_know_it;2020;1;1;11
Five Nights At Freddy's;The Living Tombstone;2:29;https://youtu.be/CG_EDg_fnsU?t=10;https://youtu.be/wKc_XDSZ94g?t=10;five_nights_at_freddys;fanmade;1;2;11
Flash Pose;Pabllo Vittar ft. Charli XCX;2:32;https://youtu.be/T_JhLEreunY;null;flash_pose;2022;3;2;12
Flowers;Miley Cyrus;3:22;https://youtu.be/mwbILZjrdQo;null;flowers;2024;1;1;12
Follow The White Rabbit;Madison Beer;2:53;https://youtu.be/L0ZPyjYD7ygv=BfzUcCRy-dQ;https://www.youtube.com/watch?v=BfzUcCRy-dQ;follow_the_white_rabbit;unlimited;1;2;11
Follow the Leader;Wisin & Yandel Ft. Jennifer Lopez;4:00;https://youtu.be/ms4NYqSVXB4v=nFyzYI6TiTw;https://www.youtube.com/watch?v=nFyzYI6TiTw;follow_the_leader;2014;1;3;3
Footloose;Kenny Loggins;2:50;https://youtu.be/KdWUgGdw6Iw?t=3;https://youtu.be/PDJKQxekPYs?t=3;footloose;2018;1;2;10
Forget you;CeeLo Green;3:38;https://youtu.be/hAyLNHn50q0?t=16;https://youtu.be/AdBD862jqts?t=16;forget_you;3;1;2;0
Fortnite Dance Remix;Citron00zeste;2:34;https://youtu.be/q1SE-5_BfSQ?t=6;https://youtu.be/5KQBiHzv_Ik?t=6;fortnite_dance_remix;fanmade;1;1;11
Freed from Desire;Gala;3:39;https://vimeo.com/874402082?share=copy#?t=20;https://www.youtube.com/watch?v=lqgjQyWC3lQ?t=20;freed_from_desire;2022;1;2;0
Fun;Pitbull ft. Chris Brown;3:16;https://youtu.be/JAJMvlEtpqI?t=17;https://youtu.be/-KTNoL9Y_LM?t=17;fun;2016;1;2;9
Funhouse;P!nk;3:22;https://youtu.be/0G_KHZcEYdQ?t=16;https://youtu.be/RidoGmZqX8Y?t=16;funhouse;4;1;3;10
Funkytown;Lips Inc.;3:44;https://youtu.be/My9eOT87Ejc?t=24;https://youtu.be/aSyRGVHMDRw?t=24;funky_town;2;1;1;11
Gangnam Style;Psy;3:30;https://youtu.be/7sRfGRILFMwv=AV1biKT426I;https://www.youtube.com/watch?v=AV1biKT426I;gangnam_style;4;2;2;0
Gargamel;Tom Zehnder and Mike Eagle;2:12;https://youtu.be/nidk1EJHNNg?t=21;https://youtu.be/49HcKtlh0nw?t=21;gargamel;smurfs;1;1;11
Gee;Girls Generation;3:24;https://youtu.be/THXPU1ALhW8;null;gee;china_or_something_idk;3;2;12
Gentleman;Psy;3:11;https://youtu.be/xnBwe6buAaQv=d4SwBI-xVLk&?t=19s;https://www.youtube.com/watch?v=d4SwBI-xVLk&t=19s;gentleman;2014;1;2;0
Geragerapō No Uta;King Cream Soda ;2:37;https://youtu.be/7zoTxjmTSP0;null;geragerapo_no_uta;ykwd;4;1;12
Gerappo Dance Train;King Cream Soda;2:29;https://youtu.be/V4xCh5zNvnQ?t=12;https://youtu.be/Fld93ff9rW8?t=12;gerappo_dance_train;ykwd;2;1;11
Get Busy;KOYOTIE;3:04;https://youtu.be/JysNuJNuIJ0;null;get_busy;2020;2;2;12
Get Get Down;Paul Johnson;3:02;https://youtu.be/gPyxYhWVKR8?t=8;https://youtu.be/ba8aA-6P2nQ?t=8;get_get_down;2021;4;2;11
Get Lucky;Daft Punk ft. Pharrell Williams;3:55;https://youtu.be/KacqBXBfuhUv=XmMfTjyGoCQ;https://www.youtube.com/watch?v=XmMfTjyGoCQ;get_lucky;2014;2;2;10
Get Ugly;Jason Derulo;4:34;https://youtu.be/t0AAcbmS0HI;null;get_ugly;2017;3;3;12
Ghost 'n' Stuff;deadmau5;4:00;https://youtu.be/eagBCwBMORov=84YXPw4htnQ;https://www.youtube.com/watch?v=84YXPw4htnQ;ghost_n_stuff;ksw;1;3;11
Ghost In The Keys;Halloween Thrills;3:28;https://youtu.be/Qqw_NernvzQv=u9bgVvN1i_Y;https://www.youtube.com/watch?v=u9bgVvN1i_Y;ghost_in_the_keys;2017;4;1;11
Ghostbusters (sweat version);Ray Parker Jr.;3:33;https://youtu.be/v27ac2GL_10v=znqEBtbSSIQ;https://www.youtube.com/watch?v=znqEBtbSSIQ;ghostbusters;2014;1;2;0
Ghosts;Michael Jackson;5:11;https://youtu.be/535X2e9RAMg?t=32;https://youtu.be/535X2e9RAMg?t=32;ghosts;mje;3;2;11
Gibberish;Max;3:02;https://youtu.be/6I-t46DqgdA;null;gibberish;2016;2;3;12
Gimme More;Britney Spears;4:11;https://youtu.be/_K6UXGK1zkA;null;gimme_more;2024;1;2;12
Gimme That;Chris Brown;2:57;https://www.youtube.com/watch?v=RJKh94UE2OE;null;gimme_that;fanmade;1;2;11
Gimme! Gimme! Gimme! (A Man After Midnight);ABBA;4:00;https://youtu.be/Jna_4PZNsFQ?t=22;https://youtu.be/-HJ-2RtRp-A?t=22;gimme_gimme_gimme;abbaycd;1;1;11
Girl Like Me (fanmade);Black Eyed Peas & Shakira;3:39;https://youtu.be/tH5r6eymCO8?t=22;https://youtu.be/78spX41CBNY?t=22;girl_like_me_fanmade;fanmade;1;3;10
Girlfriend;Avril Lavigne;3:31;https://youtu.be/bmbgpC96V0U?t=7;https://youtu.be/VFUWO-Q-fPY?t=7;girlfriend;2;2;2;1
Girls Just Want to Have Fun;Cyndi Lauper;2:54;https://youtu.be/ypmxeMnG4Ac?t=23;https://youtu.be/SQheJ2xXYXA?t=23;girls_just_wanna_have_fun;1;1;1;11
Girls Like;Tinie Tempah ft. Zara Larsson;3:16;https://youtu.be/34bvtbY9plc;null;girls_like;2021;3;2;12
Give Me Everything;Pitbull ft. Nayer, Ne-Yo, Afrojack;3:40;https://youtu.be/H65co27WNAg?t=24;null;give_me_everything;fanmade;4;1;11
Give That Wolf A Banana;Subwoolfer;2:45;https://youtu.be/dAXO1XXixkY?t=15;https://youtu.be/wVLPBqliMe4?t=15;give_that_wolf_a_banana;plus;2;2;11
God Is A Woman;Ariana Grande;4:05;https://youtu.be/0xUpOeiCIW0;null;god_is_a_woman;2020;1;3;12
God is a Woman (Alternate Seated Ver.);Ariana Grande;3:17;https://youtu.be/EkJbB-1tWs0;null;god_is_a_woman_alternate_seated_ver;2020;1;2;12
Gokuraku Joudo;GARNiDELiA;3:34;https://youtu.be/aqHjN5YPLho;null;gokuraku_joudo;china_or_something_idk;3;4;12
Gold Dust;DJ Fresh;2:56;https://youtu.be/N4nma7ttLvov=_eBoCoJuqR4;https://www.youtube.com/watch?v=_eBoCoJuqR4;gold_dust;4;1;2;10
Gonna Make You Sweat (Everybody Dance Now);C+C Music Factory ft. Freedom Williams;3:19;https://youtu.be/nrS3W9_zsgE?t=10;https://youtu.be/HIrEF0RZ5dQ?t=10;gonna_make_you_sweat;2;1;2;11
Good 4 U;Olivia Rodrigo;2:50;https://youtu.be/3Fg89vWWre4v=pBngwEQ2B4s;https://www.youtube.com/watch?v=pBngwEQ2B4s;good_4_u;2022;1;2;8
Good Feeling;Flo Rida;4:04;https://youtu.be/WdwVurGRoEU?t=8;https://youtu.be/VDR-jJnVqPc?t=8;good_feeling;4;1;2;1
Good Feeling (extreme version);Flo Rida;4:05;https://youtu.be/K1UCle2XtmM?t=5;https://youtu.be/--74o20SmOs?t=5;good_feeling_extreme;4;1;4;0
Good Time;Owl City ft. Carly Rae Jepson;3:25;https://youtu.be/fTXjpBTYHso;null;good_time;fanmade;1;2;12
Good ones;Charlie XCX;2:38;https://youtu.be/vj8LawvHnjU;null;good_ones;2023;1;1;12
Greedy;Tate McRae;2:16;https://youtu.be/93tQ7x0u-aE;null;greedy;2024;1;3;12
Groove;Jack & Jack;3:09;https://youtu.be/Pc1sejnWNGI?t=23;https://youtu.be/2GE4hc83D5g?t=23;groove;2017;2;2;11
HIP;MAMAMOO;3:11;https://youtu.be/eCdTBWQH3zw?t=25;https://youtu.be/Wmy0e-jRaJ8?t=25;hip;fanmade;1;3;11
HandClap;Fitz and the Tantrums ;3:12;https://youtu.be/jDzvKZwwuaU;null;handclap;2016;3;2;12
HandClap (World Cup Champion Version);Fitz and the Tantrums;3:03;https://youtu.be/_BGD7h3cgmkv=jgbX26OOE6s;https://www.youtube.com/watch?v=jgbX26OOE6s;hand_clap_world_cup_version;2017;1;4;10
Happier;Marshmello ft. Bastille;3:31;https://youtu.be/xrNsqxFPEKs;null;happier;fanmade;1;2;12
Happier Than Ever;Billie Eilish;3:38;https://youtu.be/dJdMO0ZMePc;null;happier_than_ever;2022;1;2;12
Happy;Pharrell Williams;2:49;https://youtu.be/wd_JvLr_ingv=3C1z4x99i00;https://www.youtube.com/watch?v=3C1z4x99i00;happy;2015;1;1;7
Happy Birthday To You;Patty Hill and Mildred J. Hill;2:10;https://youtu.be/rJvPnkakszU;null;happy_birthday_to_you;other;1;1;12
Harajuku Iyahoi;Kyary Pamyu Pamyu;3:25;https://youtu.be/AI2FJoS6804v=ARnq0Pp1QNU;https://www.youtube.com/watch?v=ARnq0Pp1QNU;harajuku_iyahoi;fanmade;1;1;10
Hatsukoitōge de Geragerapō;King Cream Soda;2:34;https://youtu.be/Ysvbq96HAxM;null;hatsukoitoge_de_geragerapo;ykwd;1;2;12
Havana;Camila Cabello;3:30;https://youtu.be/Y75uC-X2Mkwv=WNM0VWlMSYo&?t=13s;https://www.youtube.com/watch?v=WNM0VWlMSYo&t=13s;havana;fanmade;1;3;7
Havana (Tango Version);Camila Cabello;3:38;https://youtu.be/w_zlAvYA0OU?t=2;null;havana_alternate;2019;2;3;11
Head & Heart;Joel Corry Ft. Minek;3:18;https://youtu.be/xBWyIDJEYeo;null;head_&_heart;2021;2;2;12
Heartbeat Song;Kelly Clarkson;3:19;https://youtu.be/0EGYMc7FPmI?t=15;https://youtu.be/gZPOjWTkwbE?t=15;heartbeat_song;2016;1;1;11
Heat Seeker;Dreamers;3:03;https://youtu.be/EhyavKWi3Ks;null;heat_seeker;2021;1;2;12
